,tweets,id,language,len,date,source,likes,retweets,sentiment
0,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/MLnQHuBDwj,1244734499675672578,en,88,2020-03-30 21:13:25,Twitter for iPhone,0,2726,0.13636363636363635
1,White House news conference at 5:00 P.M. Eastern. Thank you!,1244728753617620994,en,60,2020-03-30 20:50:35,Twitter for iPhone,34702,7124,0.0
2,https://t.co/2hKJkP5Z6N,1244682364284014594,und,23,2020-03-30 17:46:15,Twitter for iPhone,42042,10696,0.0
3,"On #NationalDoctorsDay, we recognize the remarkable men &amp; women who treat their fellow Americans, find cures for th… https://t.co/1DhrlPXrJ8",1244673740866191362,en,144,2020-03-30 17:11:59,Twitter for iPhone,50228,12912,0.75
4,https://t.co/nzWJ8ViwbZ,1244672122414338048,und,23,2020-03-30 17:05:33,Twitter for iPhone,87753,21428,0.0
5,RT @DeptofDefense: LIVE: #USNSComfort arrives in New York in support of the DOD’s #COVID19 response efforts. (no sound) https://t.co/fajV9T…,1244669862514917381,en,140,2020-03-30 16:56:34,Twitter for iPhone,0,6671,0.024242424242424232
6,RT @TeamTrump: President @realDonaldTrump: “We’re all in this together. I have never seen anything like it.” https://t.co/RMsw1pYfoe,1244585061745295361,en,132,2020-03-30 11:19:36,Twitter for iPhone,0,8353,0.0
7,RT @GOPChairwoman: FEMA and @realDonaldTrump’s administration are making sure we have the supplies we need to confront coronavirus. https:/…,1244585014806921217,en,140,2020-03-30 11:19:25,Twitter for iPhone,0,6680,0.5
8,"Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real “junk” int… https://t.co/ISocSqL5tv",1244584449309892609,en,140,2020-03-30 11:17:10,Twitter for iPhone,152180,35427,0.2
9,RT @realDonaldTrump: Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!,1244583281481388032,en,83,2020-03-30 11:12:32,Twitter for iPhone,0,14663,0.4333333333333333
10,Thank you Dr. Hahn &amp; the FDA for your fast approval of this respected Ohio company recommended by Governor… https://t.co/voWIqDYxKh,1244581994614398981,en,135,2020-03-30 11:07:25,Twitter for iPhone,42320,10273,0.2
11,Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!,1244493463355342848,en,62,2020-03-30 05:15:37,Twitter for iPhone,85987,14663,0.4333333333333333
