,tweets,id,language,len,date,source,likes,retweets,sentiment
0,Indian railway authorities prepare to convert train coaches into isolation wards in Guwahati on March 29 to fight a… https://t.co/YIWxhHCqfo,1244550020252270593,en,140,2020-03-30 09:00:22,Hootsuite Inc.,58,13,0.0
1,The last batch of medical assistance teams from Chongqing arrived at Chongqing Jiangbei International Airport in so… https://t.co/lEz1XWaAya,1244534898767134720,en,140,2020-03-30 08:00:16,Hootsuite Inc.,88,12,0.0
2,"In recent years, flowers and trees planting industry has developed quickly in Huangchuan County, central China's He… https://t.co/CzjspvsiLE",1244527348592054272,en,140,2020-03-30 07:30:16,Hootsuite Inc.,74,12,0.10833333333333334
3,"Photos taken on March 29, 2020 show spring scenery after rainfall in Dongzhuang Village of Jinping County, southwes… https://t.co/Vgz4fxcE3b",1244519792809295872,en,140,2020-03-30 07:00:15,Hootsuite Inc.,60,3,0.0
4,"A team of Chinese medical experts, along with medical materials, arrived at the Wattay International Airport in Vie… https://t.co/JS68o5mTgR",1244512227039809537,en,140,2020-03-30 06:30:11,Hootsuite Inc.,188,35,0.0
5,"Farmers work in a greenhouse at an agricultural garden in Luanzhou City, north China's Hebei Province, March 29, 20… https://t.co/kgA16YmOMy",1244504667805167618,en,140,2020-03-30 06:00:09,Hootsuite Inc.,86,11,0.0
6,"The Jack Ma Foundation and the Alibaba Foundation, with the coordination and help of the Chinese Embassy in Dhaka o… https://t.co/sQEHuEejlk",1244497110155907075,en,140,2020-03-30 05:30:07,Hootsuite Inc.,85,18,0.0
7,"The Chinese medical team landed in Phnom Penh, capital of Cambodia, on March 23 to help combat the epidemic, as the… https://t.co/DX4h95rlAN",1244489585251487744,en,140,2020-03-30 05:00:13,Hootsuite Inc.,106,8,0.0
8,"A total of 19,522 COVID-19 cases have been confirmed in Britain as of Sunday morning, marking an increase of 2,433… https://t.co/Im1c0PJfQ3",1244474481713840140,en,139,2020-03-30 04:00:12,Hootsuite Inc.,34,6,0.2
9,U.S. President Donald Trump said Sunday that the national social distancing guidelines aimed at slowing the spread… https://t.co/SlfLpxpWqH,1244466907757064194,en,139,2020-03-30 03:30:06,Hootsuite Inc.,38,5,0.03333333333333333
10,China's sharing of experience and donation of supplies to the Middle East have been boosting confidence and capabil… https://t.co/n8dDUW8ax1,1244463119977582595,en,140,2020-03-30 03:15:03,Hootsuite Inc.,87,21,0.0
11,"The number of COVID-19 cases has exceeded 700,000 globally as of 2:45 p.m. on Sunday (1845 GMT), according to the l… https://t.co/rE23zarE9i",1244459383918153729,en,140,2020-03-30 03:00:12,Hootsuite Inc.,41,6,0.0
12,"As a political figure actively promoting ideas against China in the Trump administration, Pompeo has been playing t… https://t.co/LS1EXYMpYs",1244455567634108416,en,140,2020-03-30 02:45:02,Hootsuite Inc.,71,11,-0.06666666666666667
