,tweets,id,language,len,date,source,likes,retweets,sentiment
0,"Macy's, Kohl's, Gap turn to mass furloughs as virus crisis deepens #COVID19 https://t.co/HvwoyKAIAs",1244796679645257732,en,99,2020-03-31 01:20:30,TweetDeck,2,1,0.0
1,"U.S. #COVID19 death toll tops 3,000, according to data released by #JohnHopkinsUniversity https://t.co/GU9f2AxR2c",1244792783946182661,en,113,2020-03-31 01:05:01,Twitter Web App,14,6,0.0
2,"Beijing Normal University will provide online psychological counseling for free for two years.

#COVID19 patients,… https://t.co/kcdXfzXoof",1244791646199459842,en,139,2020-03-31 01:00:30,TweetDeck,45,11,0.18333333333333335
3,"#Trump, #Putin discuss oil price plunge, #coronavirus over phone https://t.co/9iIgV3DeKz",1244786487213854720,en,88,2020-03-31 00:40:00,TweetDeck,18,8,0.0
4,"HEAT PODCAST: Amidst #COVID19 - How can you “shelter in place” if you have no home?

“We the UnHoused” podcaster Th… https://t.co/ykg7TZ8rwb",1244785637506637824,en,140,2020-03-31 00:36:37,TweetDeck,13,5,0.0
5,"48 new cases of #COVID19 were reported on the Chinese mainland on Monday, all of which originated abroad.
 
#Hubei… https://t.co/xzz6HPguiO",1244782000256348161,en,139,2020-03-31 00:22:10,Twitter Web App,47,20,0.06818181818181818
6,Developing nations need $2.5 trln #coronavirus package: #UnitedNations report https://t.co/OcEPOZNlK4,1244776421047914504,en,101,2020-03-31 00:00:00,TweetDeck,13,2,0.0
7,".@WHO reported 58,411 new confirmed cases of #COVID19 across the globe in the last 24 hours, pushing the total to 6… https://t.co/9il3fKSa4o",1244772449712926721,en,140,2020-03-30 23:44:13,Twitter Web App,25,16,0.1340909090909091
8,"Crunching Numbers: U.S. in urgent need of masks, China steps up to meet global demand https://t.co/0sD8mOdH4J https://t.co/eRDh1fYW7t",1244771387979382785,en,133,2020-03-30 23:40:00,TweetDeck,22,12,0.0
9,Medical team from Harbin continues fight against #COVID19 in #Wuhan https://t.co/o5ccZp7EAx,1244771387602096129,en,91,2020-03-30 23:40:00,Twitter Media Studio,35,9,0.0
10,China's catering sector struggles to stay afloat in challenging times https://t.co/Pxi2xHadE4 https://t.co/dxFZGLzKmg,1244766354609225728,en,117,2020-03-30 23:20:00,Twitter Media Studio,23,8,0.25
11,RT @cgtnamerica: It's arguably one of the biggest questions in during the #coronavirus pandemic. Should healthy people wear a mask or not?…,1244762684622540800,en,139,2020-03-30 23:05:25,TweetDeck,0,10,0.5
12,Indoor and entertainment attractions in China to close again amid renewed #coronavirus concerns https://t.co/IgotyEjiGF,1244761324778737666,en,119,2020-03-30 23:00:01,TweetDeck,35,20,0.0
13,"RT @cgtnamerica: U.S. #coronavirus cases now at 160,020, according to @JohnsHopkinsSPH.",1244761208609275904,en,87,2020-03-30 22:59:33,TweetDeck,0,13,0.0
14,RT @cgtnamerica: In the age of #coronavirus many people are taking it upon themselves to educate the public. See how videographer Brian Ros…,1244756671651557377,en,140,2020-03-30 22:41:31,TweetDeck,0,17,0.25
15,"RT @cgtnamerica: Latest #coronavirus cases in Italy: 4050 new cases and 101,739 cases in total.",1244752222895910912,en,95,2020-03-30 22:23:50,TweetDeck,0,10,0.21212121212121213
16,"RT @cgtnamerica: Latest #covid19 statistics from @JohnsHopkinsSPH: World has seen 775,306 cases and 37,140 deaths. In the United States, th…",1244750848422490113,en,140,2020-03-30 22:18:23,TweetDeck,0,17,0.5
17,RT @cgtnamerica: The @USNSComfort arrived in New York to help hospitals overwhelmed with #coronavirus patients. The ship will not see any #…,1244741170707734528,en,140,2020-03-30 21:39:55,TweetDeck,0,19,0.13636363636363635
18,"RT @cgtnamerica: U.S. President Donald Trump says 1 million Americans have been tested for #covid19, more than any country in world. #coron…",1244737002840481794,en,140,2020-03-30 21:23:22,TweetDeck,0,20,0.5
19,RT @cgtnamerica: WATCH LIVE: Update on the fight against #COVID-19 in the U.S. from the White House.  #coronavirus    https://t.co/23j8UKlp…,1244734698313703425,en,140,2020-03-30 21:14:12,TweetDeck,0,3,0.06818181818181818
20,RT @cgtnamerica: Full session answering #covidquestions with University of Michigan epidemiologist Dr Arnold Monto @arnold_monto @umichsph…,1244733466312351745,en,139,2020-03-30 21:09:19,TweetDeck,0,9,0.35
21,"Watch: How do you protect yourself and others from #COVID19?
☑️😷🙌🤧
❌🤦‍♂️👨‍👩‍👧‍👦🎉
 https://t.co/UgIs0pee06",1244726462105739272,en,105,2020-03-30 20:41:29,Twitter for iPhone,44,33,0.0
22,"RT @cgtnamerica: During the #coronavirus pandemic, everyone seems to be zooming these days. See how people are using Zoom, a video conferen…",1244726284913201154,en,140,2020-03-30 20:40:46,TweetDeck,0,9,0.0
23,Video: The 'corona criminals' adapting to exploit the crisis https://t.co/hKEAlaltAM,1244726266818945025,en,84,2020-03-30 20:40:42,Twitter for iPhone,47,28,0.0
24,🇷🇴 The shutting down of public transport didn’t stop one Romanian father-to-be - he traveled 40km by horse to atten… https://t.co/smUnQTt6CA,1244726094848294912,en,140,2020-03-30 20:40:01,Twitter for iPhone,60,15,-0.07777777777777779
25,RT @CGTNEurope: Video: As #COVID19 measures see huge parts of Europe forced to stay indoors it was nice to see this baby hippo🦛 on his firs…,1244725881152638977,en,140,2020-03-30 20:39:10,Twitter for iPhone,0,12,0.2333333333333333
26,"RT @cgtnamerica: Stocks rise again on Wall Street, bringing its gain over the past week to 17%, as hopes build for coronavirus response.",1244717043791822849,en,136,2020-03-30 20:04:03,TweetDeck,0,7,-0.25
27,#Covid19Frontline Ep.16: Can TCM be used for prevention of COVID-19? https://t.co/vUYuuN1diU,1244716022936023041,en,92,2020-03-30 20:00:00,Twitter Media Studio,25,8,0.0
28,"RT @CGTNEurope: Video: Chef giving free food to homeless during #COVID19 crisis 🥖
https://t.co/WQsQyg3jkw https://t.co/0wqDekmF8S",1244711127960993792,en,129,2020-03-30 19:40:33,TweetDeck,0,37,0.4
29,"RT @cgtnamerica: While New York has a stay-at-home order to stop the spread of the #coronavirus, many New Yorkers are ignoring it. Resident…",1244704249554055168,en,140,2020-03-30 19:13:13,TweetDeck,0,31,0.25757575757575757
30,"RT @cgtnamerica: NEW LINK: Q&amp;A with epidemiologist Dr Arnold Monto on #coronavirus  https://t.co/cQ5mIQmQ75

#covidquestions @arnold_monto…",1244703875518652416,en,143,2020-03-30 19:11:44,TweetDeck,0,2,0.13636363636363635
31,RT @cgtnamerica: Q&amp;A with University of Michigan epidemiologist Dr Arnold Monto on everything you want to know about #coronavirus   #covidq…,1244702599070220288,en,144,2020-03-30 19:06:39,TweetDeck,0,7,0.0
32,"#Coronavirus may ""spread like wildfire"" in poor countries https://t.co/zdyebP5tTT",1244700925815652353,en,81,2020-03-30 19:00:00,TweetDeck,47,16,-0.4
33,"RT @cgtnamerica: U.S. oil prices drop below $20 a barrel, globally at lowest point since March 2002 from COVID-19 fears.",1244691047512489987,en,120,2020-03-30 18:20:45,TweetDeck,0,24,0.0
34,"RT @cgtnamerica: While hundreds of museums around the world are closed due to the #coronavirus, many are offering online views of their exh…",1244685962602516481,en,140,2020-03-30 18:00:33,TweetDeck,0,15,0.09166666666666667
35,"#China bans foreigners' entry to curb imported #COVID19 cases, global powers reject U.S. push to call COVID-19 ""Wuh… https://t.co/fdGDmnoJIK",1244685826425901056,en,140,2020-03-30 18:00:00,TweetDeck,24,11,0.0
36,"HEAT PODCAST: Mike is an elderly man living off disability in Washington, DC. As the #CoronavirusPandemic intensifi… https://t.co/lNX9oROSeK",1244680347541004292,en,140,2020-03-30 17:38:14,TweetDeck,38,8,0.0
37,Van Gogh painting stolen from Dutch museum in lockdown https://t.co/XBTs063ezF via @CGTNEurope,1244679863275003909,en,94,2020-03-30 17:36:19,TweetDeck,9,8,0.0
38,RT @cgtnamerica: Do you have questions about #COVID19? Ask Dr. Arnold Monto from the University of Michigan for answers on Facebook Live to…,1244677548073717761,en,140,2020-03-30 17:27:07,TweetDeck,0,6,0.13636363636363635
39,"RT @CGTNEurope: Read today's #COVID19 Bulletin:
🇪🇸Spain gets strict;
🇮🇹Italy deaths top 10,000;
🇭🇺Hungary's crunch vote 
🇦🇹Austria to make…",1244675618299674629,en,139,2020-03-30 17:19:27,TweetDeck,0,9,0.5
40,"Did you know we sent this briefing out by email, too? You can sign up here: https://t.co/HDLOcBPIQC
@patricvk… https://t.co/gKmPyW7wH4",1244673658741821441,en,134,2020-03-30 17:11:39,TweetDeck,8,1,0.0
41,"Austrian shoppers must wear face masks – provided on entry – in supermarkets from Wednesday, the government has ann… https://t.co/lCZ3JMfJtb",1244672594462363648,en,140,2020-03-30 17:07:26,TweetDeck,36,8,0.0
42,#Covid19Frontline Ep.16: Chinese experts share three TCM formulas https://t.co/V2FyF2cENQ,1244670727791362067,en,89,2020-03-30 17:00:01,Twitter Media Studio,30,10,0.0
43,"RT @CGTNEurope: WATCH LIVE: UK government holds briefing on coronavirus outbreak
 https://t.co/kPb5K3RMSU",1244666795245666306,en,105,2020-03-30 16:44:23,TweetDeck,0,6,0.13636363636363635
44,"RT @cgtnamerica: Las Vegas is the city that never sleeps, but now with the state's stay-at-home order in place for nearly two weeks, it's b…",1244661450356011009,en,140,2020-03-30 16:23:09,TweetDeck,0,17,0.1
45,Romanian man rides horse to attend his son's birth in quarantined city https://t.co/UycWLys7uI,1244658277897601027,en,94,2020-03-30 16:10:32,TweetDeck,64,15,0.0
46,"China donates 2,000 protective goggles, and 30,000 face masks to South Africa #FightTheCOVID19 https://t.co/odgJqU0Ywq",1244655627294687232,en,118,2020-03-30 16:00:00,Twitter Media Studio,175,44,0.0
47,"Watch: From burglars impersonating health officials to fake medicines and masks sold online, criminals are finding… https://t.co/rFAbhI1suZ",1244651369493147648,en,139,2020-03-30 15:43:05,TweetDeck,38,11,-0.5
48,"Opinion: The ""tutor"" no more #CGTNFirstVoice https://t.co/nuU8jykNdP",1244648075114635265,en,68,2020-03-30 15:30:00,TweetDeck,37,10,-0.25
49,Developing nations need $2.5 trln #coronavirus package: UN report https://t.co/OcEPP04WBC,1244644991000969216,en,89,2020-03-30 15:17:44,Twitter Web App,32,12,0.0
50,"#ChinaToday in case you missed it
- Xi inspects green development of east China county https://t.co/ZJ6Bx22C2A 
- P… https://t.co/VS0jzv8PFS",1244644471381229568,en,140,2020-03-30 15:15:41,Twitter Media Studio,26,6,-0.2
51,WATCH LIVE: @WHO holds briefing over #coronavirus outbreak #covid19 https://t.co/1Uu9XWIhbG,1244640400889057282,en,91,2020-03-30 14:59:30,TweetDeck,35,9,0.13636363636363635
52,President #XiJinping inspects green development of east China county https://t.co/BWW4xcy5jx https://t.co/NURElV7N6T,1244639269785710592,en,116,2020-03-30 14:55:00,Twitter Media Studio,63,20,-0.2
53,HEAT PODCAST: Indian MP Dr @ShashiTharoor speaks to @AnandNaidoo about his country’s lockdown - and if government m… https://t.co/dUAp8We1rf,1244638167069790208,en,140,2020-03-30 14:50:37,TweetDeck,24,5,0.0
54,New U.S. company to deliver slimmed-down ventilators https://t.co/EkpmsNkgO0,1244635492538335235,en,76,2020-03-30 14:40:00,Twitter Media Studio,53,15,-0.009595959595959616
55,"Until Sunday, Henan Province had a 30-day stretch of zero locally transmitted cases of #COVID19. That's when two as… https://t.co/tnTTZWQUze",1244633953899655168,en,140,2020-03-30 14:33:53,Twitter Media Studio,41,16,0.0
56,The first train arrives at #Wuhan station with 240 returnees https://t.co/bPOv4rBVzg,1244630957975453698,en,84,2020-03-30 14:21:59,Twitter Media Studio,234,74,0.25
57,5.5 million masks flown to Paris from China #FightTheCOVID19 https://t.co/KQzdF4M7jd,1244625426779168770,en,84,2020-03-30 14:00:00,Twitter Media Studio,148,42,0.0
58,Opinion: Tackling #COVID19 needs strong governance and leadership #CGTNOpinion https://t.co/xCQRqvHMhM https://t.co/sghVJYLxW2,1244620392901169152,en,126,2020-03-30 13:40:00,Twitter Media Studio,10,6,0.4333333333333333
59,"""Special time. Special way. Special summit.""

Chinese President #XiJinping attended #G20 Extraordinary Virtual Lead… https://t.co/OQK5Lcsy3R",1244620367575961602,en,140,2020-03-30 13:39:54,Twitter Media Studio,41,13,0.28095238095238095
60,Video: Passenger train derails in central China's Hunan Province https://t.co/zzqKrcpgAh,1244615359740563456,en,88,2020-03-30 13:20:00,Twitter Media Studio,70,37,0.0
61,"Xiamen Airlines (XiamenAir) will cancel cross-strait flights from March 30 to May 2, due to #COVID19 prevention and… https://t.co/yoE94siJUU",1244612338818277376,en,140,2020-03-30 13:08:00,Twitter Web App,25,8,-0.0625
62,UK's Prince Charles has left self-isolation and is in good health after being tested positive for #coronavirus last… https://t.co/i7BHq2WstW,1244611643499143168,en,140,2020-03-30 13:05:14,Twitter Web App,92,36,0.2318181818181818
63,"China donates more medical supplies to Nepal, Pakistan, Malaysia #FightTheCOVID19 https://t.co/8MdfZ1o5lE",1244610329033621505,en,105,2020-03-30 13:00:00,Twitter Media Studio,111,27,0.25
64,Japan has no plan to declare state of emergency from April 1 https://t.co/iYwBasbsi2,1244605293251551232,en,84,2020-03-30 12:40:00,TweetDeck,77,25,0.0
65,Israeli Prime Minister Benjamin Netanyahu has gone into self-isolation after a parliamentary aide tested positive f… https://t.co/XzhdBakVt0,1244600862984400896,en,140,2020-03-30 12:22:23,Twitter Web App,59,24,0.22727272727272727
66,U.S. President Donald Trump on Sunday expressed his concern and disbelief during a briefing on the novel… https://t.co/XauZQ9ZAGo,1244600616459984897,en,129,2020-03-30 12:21:25,Twitter Media Studio,39,24,0.0
