,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,sentiment
0,yukainiletsgo,yukainiletsgo,1177555290570424320,1242602092730056704,/yukainiletsgo/status/1242602092730056704,2020-03-24 23:59:59,1585094399,"I got fired yesterday due to the damage of coronavirus. Not only me, 70 colleagues got fired from my company.
People are dying. Companies are closing.
CHINA MUST TAKE RESPONSIBILITY FOR THIS!!!!!!!
#COVID19 #ChinaVirus","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I got fired yesterday due to the damage of coronavirus. Not only me, 70 colleagues got fired from my company.
People are dying. Companies are closing.
<strong>CHINA</strong> MUST TAKE RESPONSIBILITY FOR THIS!!!!!!!
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChinaVirus?src=hash""><s>#</s><b>ChinaVirus</b></a></p>",[],"['COVID19', 'ChinaVirus']",False,[],,4,2,4,True,False,,[],-0.0625
1,TH3R34LTRUTH,Ron,1097027300,1242602091979460608,/TH3R34LTRUTH/status/1242602091979460608,2020-03-24 23:59:59,1585094399,I did notice that Governor's are responsible for their own States not the Federal Govt. I know you want Daddy FedGovt to handle all your affairs for you and there are countries like China Cuba Venezuela you can move to they'll be happy to tell you what to do,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I did notice that Governor's are responsible for their own States not the Federal Govt. I know you want Daddy FedGovt to handle all your affairs for you and there are countries like <strong>China</strong> Cuba Venezuela you can move to they'll be happy to tell you what to do</p>",[],[],False,[],,0,0,2,True,True,1.2425793260437463e+18,"[{'screen_name': 'nickylove1379', 'user_id': '1196286798277816320'}, {'screen_name': 'TitusNation', 'user_id': '40996128'}, {'screen_name': 'deaton_cristal', 'user_id': '1236694460131467265'}]",0.5333333333333333
2,Ipreachhardcore,Judy Smyth,740020333764218880,1242602091790495744,/Ipreachhardcore/status/1242602091790495744,2020-03-24 23:59:59,1585094399,"And a typical bc lib stab..
FO.. better yet, go for a long walk in China.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">And a typical bc lib stab..
FO.. better yet, go for a long walk in <strong>China</strong>.</p>",[],[],False,[],,0,0,0,False,True,1.2422199823620424e+18,"[{'screen_name': 'jordanbateman', 'user_id': '16002408'}]",0.09444444444444446
3,GSflier,GS,371971585,1242602090540584962,/GSflier/status/1242602090540584962,2020-03-24 23:59:59,1585094399,"Guys, Trump's right. We're finally gonna beat China!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Guys, Trump's right. We're finally gonna beat <strong>China</strong>!</p>",[],[],False,[],,2,0,1,True,True,1.2425983056469484e+18,"[{'screen_name': 'ShimonPro', 'user_id': '65277959'}, {'screen_name': 'gtconway3d', 'user_id': '471677441'}]",0.14285714285714285
4,Osmaney36695,D=RULER,1729328226,1242602089508999168,/Osmaney36695/status/1242602089508999168,2020-03-24 23:59:59,1585094399,China will never stop production. Now they've produced Corona Plus ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>China</strong> will never stop production. Now they've produced Corona Plus <img alt=""😷"" aria-label=""Emoji: Face with medical mask"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f637.png"" title=""Face with medical mask""/><img alt=""☕"" aria-label=""Emoji: Hot beverage"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2615.png"" title=""Hot beverage""/></p>",[],[],False,[],,0,0,0,False,False,,[],0.0
5,ProgressiveGenZ,Black Zoomer 🌹🇺🇸🇻🇮🇰🇳,3301289824,1242602089160810497,/ProgressiveGenZ/status/1242602089160810497,2020-03-24 23:59:59,1585094399,"That's why I referenced the Nordics and not the Chinese Government.

The Nordics are Social Democratic. China obviously is State Capitalist like you said.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">That's why I referenced the Nordics and not the Chinese Government.

The Nordics are Social Democratic. <strong>China</strong> obviously is State Capitalist like you said.</p>",[],[],False,[],,2,0,1,True,True,1.242600391482753e+18,"[{'screen_name': 'yogthulu', 'user_id': '1351005738'}]",0.011111111111111112
6,KlugeRodrigo,Rodrigo Von Kluge 🇧🇷🇦🇹,728769842212392960,1242602088904962049,/KlugeRodrigo/status/1242602088904962049,2020-03-24 23:59:59,1585094399,"16 mil mortos que dizem né

Quem acredita em números da China ou Russia?

Itália morreram muito mais de 6 mil, milhares por outras doenças por falta de atendimento , nem médicos e enfermeiras entram nesses números, e só em Bergamo nenhuma enfermeira é da cidade....
Espanha igual","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">16 mil mortos que dizem né

Quem acredita em números da <strong>China</strong> ou Russia?

Itália morreram muito mais de 6 mil, milhares por outras doenças por falta de atendimento , nem médicos e enfermeiras entram nesses números, e só em Bergamo nenhuma enfermeira é da cidade....
Espanha igual</p>",[],[],False,[],,7,0,2,True,True,1.242601166976045e+18,"[{'screen_name': 'AlineTosin', 'user_id': '1003449594288668672'}]",0.0
7,exoscopia,Ex🦠sc🦠pia,302151176,1242602088720412675,/exoscopia/status/1242602088720412675,2020-03-24 23:59:59,1585094399,El #truqui es saquear envíos de material desde China a Italia.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/truqui?src=hash""><s>#</s><b>truqui</b></a> es saquear envíos de material desde <strong>China</strong> a Italia.</p>",[],['truqui'],False,[],,0,0,1,True,True,1.2426018008695603e+18,"[{'screen_name': 'manuelalimon', 'user_id': '2771014482'}]",0.0
8,Galovox13,Tarso,2497407850,1242602085524426757,/Galovox13/status/1242602085524426757,2020-03-24 23:59:58,1585094398,"China ""funcionou"" tão também que deu até para exportar para o Mundo todo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><strong>China</strong> ""funcionou"" tão também que deu até para exportar para o Mundo todo.</p>",[],[],False,[],,0,0,1,True,True,1.242599187302187e+18,"[{'screen_name': 'guilhermebndr', 'user_id': '911770736158810113'}, {'screen_name': 'BrazilFight', 'user_id': '1105126592370618370'}]",0.0
9,TWISports_WTS22,史上最廢插畫家,1239224006319820800,1242602083888459776,/TWISports_WTS22/status/1242602083888459776,2020-03-24 23:59:57,1585094397,The C of COVID-19 means China right?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The C of COVID-19 means <strong>China</strong> right?</p>",[],[],False,[],,3,2,1,True,True,1.2423736333909402e+18,"[{'screen_name': 'Hanking35678652', 'user_id': '1238475870081175552'}]",0.2857142857142857
