,tweets,id,language,len,date,source,likes,retweets,sentiment
0,"China is practicing ""mask propaganda""? Do those badmouthing China rather want us to stand by &amp; turn blind to others… https://t.co/hbYd9oz4Kh",1244628726232408065,en,144,2020-03-30 14:13:07,Twitter Web App,4789,757,-0.3
1,Chinese companies are working around the clock to make more medical supplies for those suffering from #COVID19. The… https://t.co/mf4Y0hwGEc,1244628449014075394,en,140,2020-03-30 14:12:00,Twitter Web App,7030,1153,0.16666666666666666
2,The open letter by @WSJ @washingtonpost @nytimes was wrongly addressed. It should be sent to the US government. Whe… https://t.co/73Ymm22oDa,1242759084291448832,en,140,2020-03-25 10:23:49,Twitter Web App,7514,900,-0.25
3,President Xi said in phone conversation with Polish President Duda: The power&amp;confidence in winning the battle agai… https://t.co/fw3ItyylER,1242596041305669632,en,144,2020-03-24 23:35:57,Twitter Web App,7692,672,0.5
4,3/3 Some US official says Chinese journalists are not real ones as they speak for the CPC. Then can we say US repor… https://t.co/qNM8eAlQro,1242488137638531072,en,140,2020-03-24 16:27:10,Twitter Web App,4360,434,-0.05
5,"2/3 The US accuses China of obstructing information flow, but when they expelled 60 Chinese journalists, what were… https://t.co/TDjLJab6sv",1242488133742018560,en,139,2020-03-24 16:27:10,Twitter Web App,4107,417,0.0
6,"1/3 Since 2018 the US has denied visas for 29 Chinese journalists. On Mar 2, US StateDept announced de facto expuls… https://t.co/Y78SykaUSG",1242488128922726403,en,140,2020-03-24 16:27:08,Twitter Web App,5205,668,0.0
7,RT @AbiyAhmedAli: Thank you @JackMa &amp; the @AlibabaGroup for sending the first wave of #COVID-19 prevention materials. Support includes 1.1m…,1241881591510532097,en,144,2020-03-23 00:16:59,Twitter Web App,0,4624,0.25
8,"2/2 Indeed, saving lives is more important than saving face! Be honest and responsible! 
https://t.co/VL5k1B75iC",1241741102077456390,en,112,2020-03-22 14:58:43,Twitter for Android,4999,579,0.425
9,1/2 Heard about the story of plugging ears while stealing bell? Is this the so-called freedom of information? Don't… https://t.co/h6itS7cL8Z,1241741098055135234,en,140,2020-03-22 14:58:42,Twitter for Android,7778,1210,0.0
10,"China launched WeDoctorGCPC, AliHealth and Baidu Ask Doctor global aid platform. We hope these platforms can not on… https://t.co/HtK6v9wJYJ",1241698850441547776,en,140,2020-03-22 12:10:50,Twitter for Android,6403,1248,0.0
11,"中方推出“微医互联网总医院全球抗疫平台“，“阿里健康海外侨胞在线医疗咨询专区”，和“百度问医生全球公益援助平台”。希望这些医疗平台不仅能帮助海外同胞，也能对其他国家遭受新冠肺炎疫情的人民有用。
https://t.co/FK2hIdyTHp",1241698634665570305,zh,120,2020-03-22 12:09:58,Twitter Web App,5728,683,0.0
12,"100,000 test kits, 100,000 surgical masks, 10,000 N95 masks, and 10,000 sets of personal protective equipment have… https://t.co/1YujzMNOnU",1241698608455401472,en,139,2020-03-22 12:09:52,Twitter Web App,4614,570,0.0
13,"RT @UN: ""It is shameful to see increasing acts of racial discrimination and prejudice as we fight the #COVID19 pandemic - a crisis that aff…",1241583896765935616,en,140,2020-03-22 04:34:03,Twitter for Android,0,1123,0.0
14,"RT @predsednikrs: Челични пријатељи, делимо и добро и зло! Хвала председнику Си Џинпингу, хвала @AmbChenBo, хвала народу НР Кине! 🇷🇸🇨🇳 http…",1241576033012174848,sr,140,2020-03-22 04:02:48,Twitter for Android,0,863,0.0
15,"Chinese medical experts arrived in Serbia with over ten tons of medical supplies, including ventilators, masks and… https://t.co/t3bv1G6ujk",1241551849871659011,en,139,2020-03-22 02:26:42,Twitter for Android,14863,2702,0.0
16,On Mar. 13 three leading Chinese experts held a video conference with over 300 US scientists &amp; specialists to share… https://t.co/Zmd0eR9agb,1241378404575805441,en,144,2020-03-21 14:57:30,Twitter Web App,5122,709,0.0
17,On Jan 25 President Trump tweeted to appreciate and thank China's efforts &amp; transparency. The same day US StateDept… https://t.co/T7KlUxJ4Vl,1241377734850297858,en,144,2020-03-21 14:54:50,Twitter Web App,4962,742,0.0
18,You may not know that Wuhan Health Commission issued a notice on December 31? Please take some time to understand t… https://t.co/3ShzKmHoTq,1241373732913811456,en,140,2020-03-21 14:38:56,Twitter Web App,4012,504,0.0
19,China has treated #COVID19 as highly pathogenic virus according to the law on prevention &amp; treatment of infectious… https://t.co/K04ZiL4iVs,1241366351286898690,en,143,2020-03-21 14:09:36,Twitter Web App,3567,456,0.16
20,"Lying and slander won't make the US great, nor will it make up for the lost time. Facing the global pandemic, the r… https://t.co/YgSHkIvLlp",1241358579329687552,en,140,2020-03-21 13:38:43,Twitter Web App,5979,884,0.4
21,"The US AID promised to give some medical supplies to China, but was not ready until March 11. Given the fast spread… https://t.co/crwlTMRNKO",1241201717133205506,en,140,2020-03-21 03:15:24,Twitter Web App,8584,1051,0.03333333333333333
22,Why not send a WHO expert group to US to investigate? US CDC estimates this season flu has so far sickened at least… https://t.co/VkNrTEUoG3,1241024085380878337,en,140,2020-03-20 15:29:33,Twitter Web App,5460,1064,-0.09999999999999999
23,"In 2015, WHO issued Best Practices for the Naming of New Human Infectious Diseases, saying that disease names may N… https://t.co/lBlIfvhtof",1241024029131071489,en,140,2020-03-20 15:29:20,Twitter Web App,3976,695,0.37878787878787873
24,US officials said they offered $100 million to China and other countries. We thank the American people for their ki… https://t.co/5p02CoH49Z,1240998180075925504,en,140,2020-03-20 13:46:37,Twitter for Android,8667,1659,-0.0625
25,"#Pompeo said to Fox News ""China has allowed hundreds of thousands of people to leave Wuhan to go to places like Ita… https://t.co/Onj0lAiBL9",1240995658904944640,en,140,2020-03-20 13:36:36,Twitter Web App,4036,707,0.0
26,US officials say that China demands a few American journalists to leave in its countermeasures because China fears… https://t.co/QxHyFnLutl,1240991366609420289,en,139,2020-03-20 13:19:32,Twitter for Android,4939,840,-0.1
27,"If the US is truly confident of the supremacy of its political system, why are they so afraid of the Communist Part… https://t.co/WWZtisrNRU",1240991227677298688,en,140,2020-03-20 13:18:59,Twitter for Android,7618,1063,-0.033333333333333326
28,"Our arduous efforts have paid off: On March 18, Hubei Province (including Wuhan) reported 0 new confirmed cases, 0… https://t.co/mMFOWahWCx",1240593235371679745,en,139,2020-03-19 10:57:31,Twitter for Android,6972,885,0.06212121212121213
29,China has been updating the US on the coronavirus and its response since Jan. 3. On Jan. 15 the US State Department… https://t.co/oNTS4tmFMG,1240577157908197376,en,140,2020-03-19 09:53:37,Twitter Web App,12028,2125,0.0
30,"We reject ideological bias against China, reject fake news made in the name of press freedom, reject breaches of ethics in journalism.",1240067426684788736,en,134,2020-03-18 00:08:08,Twitter Web App,5594,656,-0.5
31,我们反对针对中国的意识形态偏见，反对借所谓新闻自由炮制假新闻，反对违反新闻职业道德的行为！,1240067384167129088,zh,45,2020-03-18 00:07:58,Twitter Web App,12607,999,0.0
32,"长期以来美方对中国媒体驻美记者采取歧视性限制措施。美方大量驱逐中方驻美记者是对中国媒体政治歧视和打压的又一升级行为。
https://t.co/YHShfxsld6",1239941366026612742,zh,82,2020-03-17 15:47:13,Twitter for Android,5960,404,0.0
33,"The US expulsion of Chinese journalists was an upgraded evidence of political oppression. For too long, the Chinese… https://t.co/WOtOtexKwY",1239936617604775936,en,140,2020-03-17 15:28:21,Twitter for Android,3325,363,-0.0125
34,President Xi talked with visiting Pakistani President. Pakistani people have given all they have to help China at o… https://t.co/H8sfUvHNqa,1239898225357643777,en,140,2020-03-17 12:55:47,Twitter for Android,8743,1829,0.0
35,Some US political figures have kept discrediting China and China's epidemic response and stigmatizing China. Any sc… https://t.co/uW651ojNxe,1239821686981025793,en,140,2020-03-17 07:51:39,Twitter Web App,4765,595,0.0
36,President Xi told PM Conte via phone that China firmly supports Italy and has full confidence in its victory. China… https://t.co/bGQYi4H1RG,1239790545456652290,en,140,2020-03-17 05:47:54,Twitter Web App,3941,402,0.07499999999999998
37,State Councilor Wang Yi told Spanish FM Gonzales: China will provide medical supplies and facilitate imports of PPE… https://t.co/noENFWVMQ4,1239210798288744449,en,140,2020-03-15 15:24:12,Twitter for Android,4364,692,0.0
38,State Councilor Wang Yi  just called with Philippine FM Locsin. We feel the same as the Philippine people are going… https://t.co/U5MZKbCZUb,1239210551000969221,en,140,2020-03-15 15:23:13,Twitter for Android,2299,256,0.0
39,"Amid the Chinese anthem playing out in Rome, Italians chanted ""Grazie, Cina!"". In this community with a shared futu… https://t.co/Kueb4EFscJ",1239041044580188162,en,140,2020-03-15 04:09:39,Twitter for Android,5207,735,0.0
40,"We met after 2008 Wenchuan earthquake in China, and again we meet against #COVID19 in Italy. We are family, we are… https://t.co/LMg64K20TX",1238826905454784512,en,139,2020-03-14 13:58:45,Twitter for Android,8021,1284,0.0
41,"Chinese medical professionals have arrived in Italy, delivering their expertise and support to the people. My colle… https://t.co/Lhmv6gbeSX",1238290498663493633,en,140,2020-03-13 02:27:15,Twitter for Android,6527,1121,0.0
42,RT @SpokespersonCHN: @CDCDirector Dr. Robert Redfield: Some cases that were previously diagnosed as Flu in the US were actually #COVID19. I…,1238003899937615873,en,140,2020-03-12 07:28:25,Twitter for Android,0,624,-0.08333333333333333
43,@CDCDirector Dr. Robert Redfield: Some cases that were previously diagnosed as Flu in the US were actually #COVID19… https://t.co/uFxBhwJE9q,1238003509510856704,en,140,2020-03-12 07:26:52,Twitter for Android,2396,624,-0.08333333333333333
44,Science is the best weapon against #COVID19. Protecting people's lives depends on science-based measures. Face up t… https://t.co/yIKj1FPq3J,1237977533343125504,en,140,2020-03-12 05:43:39,Twitter for Android,2739,471,1.0
45,It seems that some US officials enjoy smearing China around the clock &amp; around the world. What they say about Xinji… https://t.co/urpCDoqyJa,1237953397644390400,en,144,2020-03-12 04:07:44,Twitter Web App,2299,389,0.4
46,The most outstanding Chinese expert sharing experience with his European colleagues online. His point: Isolating th… https://t.co/1h3AfZtkJL,1237941721683484673,en,140,2020-03-12 03:21:20,Twitter Web App,3079,538,0.25
47,"A batch of medical supplies have arrived in Belgium; 1.8 million masks and 100,000 reagents are on the way. The sup… https://t.co/xubaxxbV26",1237756103049371648,en,140,2020-03-11 15:03:46,Twitter Web App,4175,1265,0.0
48,"Chinese medical experts have set off for Italy, carrying medical supplies to support people there fighting against… https://t.co/mx6ML6ArrU",1237755856961200129,en,139,2020-03-11 15:02:47,Twitter Web App,3008,569,0.0
49,President Xi Jinping told medical workers on the frontline: I can't see your faces behind the masks. But you are th… https://t.co/ejliGRjyON,1237537341272514560,en,140,2020-03-11 00:34:29,Twitter Web App,2751,419,-0.2
50,State Councillor &amp; Foreign Minister Wang Yi called with his Italian counterpart Luigi Di Maio: China will provide m… https://t.co/rPWhXnKPuC,1237389626752417793,en,144,2020-03-10 14:47:31,Twitter for Android,1891,260,-0.0625
51,"In face of the spreading #COVID19, some are still obsessed with the superiority of its own ideology?! VIRUS KNOWS N… https://t.co/cXcZqF48IP",1237284522808336384,en,140,2020-03-10 07:49:52,Twitter Web App,2014,295,0.04999999999999999
52,Foreign volunteers of various nationalities &amp; professions are working on epidemic frontline in China. Frédéric Dome… https://t.co/mMpmyOkjep,1237278576707112962,en,144,2020-03-10 07:26:14,Twitter Web App,618,79,-0.0625
53,"Our sympathies go to all countries suffering from #COVID19. In this darkest hour, we need trust, support &amp; cooperat… https://t.co/c8GIUjhnoX",1237276939410231296,en,144,2020-03-10 07:19:44,Twitter Web App,1148,131,0.0
54,#USTR 2019 Report to Congress on China’s WTO Compliance #Fairtrade policies must follow rules agreed by all instead… https://t.co/vXKqqmU4M5,1236982913314390016,en,140,2020-03-09 11:51:23,Twitter for Android,920,77,0.0
55,"“雾尽风暖，樱花将灿”
吹く風に温かさ知り花近し

憂いのない春を一緒に迎えましょう！ https://t.co/phR01NSliB",1236512461374681088,ja,67,2020-03-08 04:41:58,Twitter for Android,3526,676,0.0
56,https://t.co/z9OhpyfXW6,1236329329270722560,und,23,2020-03-07 16:34:16,Twitter for Android,1786,151,0.0
57,We are together in the global fight against #COVID19. https://t.co/ddrnNr6iSS,1236328907789361152,en,77,2020-03-07 16:32:36,Twitter for Android,616,69,0.0
