,tweets,id,language,len,date,source,likes,retweets,sentiment
0,1 million people  in U.S. tested for COVID-19 https://t.co/x61nmeCT7x https://t.co/99CL0eJ7Bi,1244794272655618048,en,93,2020-03-31 01:10:56,China Xinhua News,24,9,0.0
1,"#BREAKING: #COVID19 death toll in U.S. reaches over 3,000 -- Johns Hopkins University https://t.co/FRmyU6Ngsb",1244793382896984064,en,109,2020-03-31 01:07:24,China Xinhua News,20,16,0.0
2,Chinese mainland reported zero increase in domestic COVID-19 cases and 48 imported cases on Monday… https://t.co/zQvqtw4AJJ,1244792970294902784,en,123,2020-03-31 01:05:45,China Xinhua News,75,41,0.0
3,"As of Monday, over 93 percent of the 81,518 COVID-19 cases on the Chinese mainland have been cured and 3,305 people… https://t.co/9RCwOAo7gS",1244792853902983168,en,140,2020-03-31 01:05:18,China Xinhua News,31,21,0.0
4,Panda Playtime! Which of these cute creatures will get to the top of this tree rack first? Check out this panda cha… https://t.co/Eb9NtnvC2B,1244778828070678528,en,140,2020-03-31 00:09:34,China Xinhua News,19,2,0.4166666666666667
5,New York Gov. Andrew Cuomo pleaded for healthcare workers out of state to help his state's overwhelmed hospitals. H… https://t.co/ljl4cVxhsP,1244778105752805377,en,140,2020-03-31 00:06:41,China Xinhua News,42,16,0.13636363636363635
6,"U.S. Navy ship with 1,000 beds arrives in NYC to ease pressure on city hospitals https://t.co/cOxSkl2OoM https://t.co/Mr8EGsVAsm",1244777516876742661,en,128,2020-03-31 00:04:21,China Xinhua News,59,22,0.0
7,Men dying at higher rate from coronavirus https://t.co/Y7oMFGhtTL,1244775654266044416,en,65,2020-03-30 23:56:57,China Xinhua News,47,27,0.25
8,"Chile records 8 deaths from #COVID19, 2,449 confirmed cases in total https://t.co/JEnGlFccHO https://t.co/GbnauSotDl",1244771588748132352,en,116,2020-03-30 23:40:48,China Xinhua News,28,11,0.2
9,"U.S. has over 160,000 #COVID-19 cases and 2,953 deaths: Johns Hopkins University https://t.co/uxUPRvGmth https://t.co/uqogMV2ccs",1244770682895888384,en,128,2020-03-30 23:37:12,China Xinhua News,41,14,0.0
10,"Overseas Chinese look to WeChat for #COVID19 medical information, consultation. Eight doctors dispatched to Wuhan a… https://t.co/1s18VewmzI",1244769802758942720,en,140,2020-03-30 23:33:42,China Xinhua News,43,16,0.0
11,Mesmerizing spring scenery in southern China. #AmazingChina https://t.co/b5d9RB65Qd,1244760275510673408,en,83,2020-03-30 22:55:50,China Xinhua News,115,32,0.15
12,Rock star Alan Merrill of 'I Love Rock 'n' Roll' fame dies after Covid-19 diagnosis https://t.co/kxi510z2U5,1244731378689667072,en,107,2020-03-30 21:01:01,China Xinhua News,29,21,0.5
13,Armed neighbors chopped down tree to force household to self-isolate https://t.co/7c9gxIXg52,1244728555587563520,en,92,2020-03-30 20:49:48,China Xinhua News,38,15,-0.15555555555555559
14,"Globally, nations and regions have together reported more than 766,000 cases and 36,873 deaths: Johns Hopkins Unive… https://t.co/B0eAcmUdC6",1244722124599603202,en,140,2020-03-30 20:24:14,China Xinhua News,32,19,0.25
15,Hardworking Chinese: Working high above the ground https://t.co/vTwfnS6s9S,1244720782137110531,en,74,2020-03-30 20:18:54,China Xinhua News,277,74,0.05333333333333334
16,"France coronavirus cases climb to 44,550, fatalities top 3,000 https://t.co/4kUxMbO8a8 https://t.co/d2EKwf9lne",1244708050272804865,en,110,2020-03-30 19:28:19,China Xinhua News,68,26,0.5
17,"#BREAKING: The U.S. has more than 150,000 COVID-19 cases -- Johns Hopkins University https://t.co/24F3xZjPRY",1244703475318935552,en,108,2020-03-30 19:10:08,China Xinhua News,97,45,0.5
18,"Confirmed COVID-19 cases exceed 22,000 in Britain, death toll at 1,408 https://t.co/BxeUB9ejRG https://t.co/15WHtm9PAF",1244691893952237569,en,118,2020-03-30 18:24:07,China Xinhua News,65,15,0.4
19,"Italy's COVID-19 cases top 100,000, record high in recoveries https://t.co/k9HkvFCsKk https://t.co/V5fu9YHcpv",1244681952881299456,en,109,2020-03-30 17:44:37,China Xinhua News,48,18,0.33
20,"Spain's total number of coronavirus cases climbs to 85,195,  health emergency chief tests positive… https://t.co/ioTvowC2RD",1244680205819449344,en,123,2020-03-30 17:37:40,China Xinhua News,38,17,0.11363636363636363
21,Putin and Trump discussed closer cooperation in the fight against #COVID19 https://t.co/66oAXxCpUG https://t.co/ePcKmr5ZiI,1244673676164775949,en,122,2020-03-30 17:11:43,China Xinhua News,72,26,0.0
22,"Zimbabwe's main COVID-19 isolation and treatment center, Wilkins Hospital, which was upgraded by Chinese enterprise… https://t.co/Q8mlBMmL6Q",1244660072799584257,en,140,2020-03-30 16:17:40,China Xinhua News,79,24,0.022222222222222216
23,"Eiffel Tower spells out ""Thank you""
British launch ""Clap for Our Carers"" campaign...
Check out how people worldwide… https://t.co/dBJgH4CcQb",1244659228280639488,en,140,2020-03-30 16:14:19,China Xinhua News,35,10,0.0
24,"Iran's #COVID19 cases surged by 3,186 to 41,495 on Monday, with 3,511 in critical condition, while death toll has r… https://t.co/hf8nffNQ0W",1244659110533971972,en,140,2020-03-30 16:13:51,China Xinhua News,35,27,0.0
25,U.S. President Donald Trump has extended national social distancing guidelines through April amid warnings death to… https://t.co/lPWAErGu4Q,1244659083501699072,en,140,2020-03-30 16:13:44,China Xinhua News,23,12,0.03333333333333333
26,China will encourage companies to expand the production of medical supplies to help the global fight against the no… https://t.co/NcoZLRGq4k,1244658548274946048,en,140,2020-03-30 16:11:37,China Xinhua News,60,28,0.0
27,Update: China will roll out more targeted measures to help small and medium-sized enterprises hit by the COVID-19 o… https://t.co/QRuuMTHEUH,1244657916340105221,en,140,2020-03-30 16:09:06,China Xinhua News,52,15,0.125
28,"U.S. President Donald Trump says the country is stepping up development of treatments for COVID-19 patients, includ… https://t.co/JWpnub0Md7",1244656365714296832,en,140,2020-03-30 16:02:56,China Xinhua News,46,15,0.0
29,China pledges stronger macro policies to offset economic impact of COVID-19 https://t.co/K13IB62qYn https://t.co/f9Gfg6WCCD,1244653911278936066,en,123,2020-03-30 15:53:11,China Xinhua News,40,9,0.2
30,"China to strengthen prevention, control of asymptomatic COVID-19 infections https://t.co/IgQEKuiYkM https://t.co/qwwew1xbXy",1244653732870029312,en,123,2020-03-30 15:52:29,China Xinhua News,88,22,0.0
31,UK's Prince Charles out of self-isolation after contracting coronavirus https://t.co/LAUP6khkTi https://t.co/IKKc5AP85o,1244647461672476672,en,119,2020-03-30 15:27:33,China Xinhua News,44,17,0.0
